CNF NAME,SOLVE STATUS,Literals,Clauses,Time (s),Decisions,Conflcits,Restarts,Load Cycle,Load %,Decide Cycle,Decide %,Propagate Cycle,Propagate %,Learn Cycle,Learn %,Min-Btrk Cycle,Min-Btrk %,Save Cycle,Save %,Allocate Cycle,Allocate %,NOT USED,NOT USED,Delete Cycle,Delete %,Literals Checked,Average Propagation Latency,Total Cycles
"646c5dd00cc8abd592a33e18c0d2aa39-manthey_single-ordered-initialized-w26-b7",1,3367,25295,1.87993,81948,40856,126,25407,5.94424e-05,2290967,0.00535996,216795119,0.507215,55713840,0.130348,144605000,0.338319,2884195,0.00674788,691880,0.00161873,0,0,4415979,0.0103317,19742608,10.9811,427422387
"78592b2e0120f520bcdec4099593297b-manthey_single-ordered-initialized-w22-b6",1,2112,15395,0.163131,10090,5258,28,15506,0.000421986,298101,0.00811263,17609534,0.479232,6531670,0.177755,11411937,0.310569,338465,0.00921111,81644,0.00222189,0,0,458450,0.0124764,1838347,9.579,36745307
"7aa3b29dde431cdacf17b2fb9a10afe4-Mario-t-hard-2_c18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7b5895f110a6aa5a5ac5d5a6eb3fd322-g2-ak128modasbg1sbisc",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7c6472811be33889e96b18df1c5a6b42-manthey_DimacsSorterHalf_33_1",1,3762,12254,0.112114,2555,858,6,12509,0.000491497,163643,0.00642977,3109937,0.122194,4707073,0.184948,17146771,0.673722,122427,0.00481034,22608,0.000888301,0,0,165853,0.00651661,416339,7.46972,25450821
"7f7109dce621ef361a72b3e8cee9a962-Break_unsat_06_07.xml",1,1101,5037,1.25139,52962,40687,126,5204,1.8358e-05,1510957,0.00533017,110541263,0.389954,82105187,0.289641,81758802,0.288419,2637919,0.00930573,671074,0.00236733,0,0,4242077,0.0149647,6505638,16.9916,283472483
"804ae5e8cb6ab57438e6cb705755d693-manthey_single-ordered-initialized-w20-b10",1,3400,24005,0.038751,4095,1170,6,24117,0.00282653,117211,0.0137372,4294344,0.5033,1148074,0.134555,2823054,0.330864,70218,0.0082296,18602,0.00218017,0,0,36750,0.00430713,407951,10.5266,8532370
"911cbc796d15eb316d36c82c90fd7d11-c499_gr_2pin_w6.shuffled",1,2070,22470,0.388447,247456,18126,62,22582,0.000275607,7723054,0.0942578,46799196,0.571172,5140473,0.0627381,20141974,0.245827,864554,0.0105517,247772,0.00302399,0,0,995804,0.0121535,1314502,35.6022,81935409
"91c69a1dedfa5f2b3779e38c48356593-Problem14_label20_true-unreach-call.c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9_6_2",1,642,5377,0.00985543,1331,579,4,5489,0.00266493,87400,0.0424331,667397,0.324024,470664,0.22851,753619,0.365885,39642,0.0192464,9332,0.00453073,0,0,26170,0.0127057,40545,16.4606,2059713
"9_6_3",1,945,8403,0.00316594,511,152,1,8531,0.0157244,27181,0.0501001,197792,0.364571,97736,0.180147,195044,0.359506,11001,0.0202771,2752,0.00507249,0,0,2497,0.00460248,12718,15.5521,542534
"9_6_4",1,1275,11537,0.00659434,1022,376,2,11648,0.00886435,67953,0.0517135,522050,0.39729,225190,0.171374,447067,0.340227,25820,0.0196495,6714,0.00510948,0,0,7585,0.00577233,35223,14.8213,1314027
"a7213279dc05d4d6f9dc8c09596a563c-manthey_single-ordered-initialized-w22-b8",1,2992,21730,0.205685,12136,5736,29,21841,0.0004701,367297,0.00790561,22353633,0.481134,7376274,0.158765,15276481,0.328807,391539,0.00842739,94114,0.00202569,0,0,579140,0.0124653,2348284,9.51914,46460319
"aacfb8797097f698d14337d3a04f3065-barman-pfile06-022.sas.ex.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2a3d5cef8030d90cfe77271eaf77a11-manthey_single-ordered-initialized-w18-b8",1,2160,15054,0.0363723,3517,1344,8,15166,0.00188348,105478,0.0130994,3716582,0.461567,1508996,0.187404,2543842,0.315923,81696,0.0101459,19492,0.00242073,0,0,60849,0.00755691,405795,9.15877,8052101
"b578728a489073549fadc963981c3bee-manthey_single-ordered-initialized-w20-b8",1,2560,18240,0.101756,6447,3063,14,18351,0.000802362,196204,0.00857864,11067263,0.483895,3685098,0.161124,7512023,0.328449,192034,0.00839631,45936,0.00200846,0,0,154317,0.00674721,1139819,9.70967,22871226
"bf31eea5a8b87410f1fb83064e2cb82e-dlx1c.ucl.sat.chaff.4.1.bryant",1,15538,43398,0.0384951,2688,704,5,51433,0.00598136,596913,0.0694176,2810807,0.326881,1615506,0.187874,3453431,0.401614,39502,0.00459386,9146,0.00106363,0,0,22136,0.00257429,508092,5.53208,8598874
"blocksworldc",1,3016,50457,0.025157,1505,633,5,50569,0.00918584,167095,0.0303527,2791656,0.507103,1097205,0.199307,1337848,0.24302,32541,0.00591106,7646,0.00138889,0,0,20545,0.00373199,344595,8.10127,5505105
