"9_8_7",1,3132,28620,0.000784139,24,11,0,28732,0.638191,525,0.0116612,6130,0.136159,5873,0.13045,3315,0.0736323,358,0.00795184,88,0.00195464,0,0,0,0,482,12.7178,45021
"16_8_5",1,3948,45759,0.000877569,10,4,0,45871,0.7526,238,0.00390484,10839,0.177834,2262,0.0371124,1609,0.0263987,99,0.00162428,32,0.000525021,0,0,0,0,525,20.6457,60950
"16_8_6",1,4716,55311,0.000903018,11,4,0,55427,0.763815,259,0.00356916,13009,0.179271,1898,0.0261555,1807,0.0249015,134,0.00184659,32,0.000440978,0,0,0,0,550,23.6527,72566
"16_8_7",1,5484,64894,0.000955178,19,8,0,65006,0.722465,441,0.0049012,17317,0.192458,3962,0.044033,2907,0.0323079,269,0.00298962,76,0.000844651,0,0,0,0,682,25.3915,89978
"16_16_3",1,5544,56261,0.00108775,105,12,0,56373,0.4655,2900,0.0239468,41553,0.343124,2787,0.0230137,16798,0.13871,553,0.0045664,138,0.00113954,0,0,0,0,2218,18.7344,121102
"hole7_unsat",1,56,204,0.125244,8835,7192,30,315,1.1282e-05,235971,0.00845153,13309533,0.476694,4241036,0.151897,9041029,0.323813,413028,0.014793,123520,0.00442399,0,0,556084,0.0199167,123253,107.985,27920516
"hole8_unsat",1,72,297,0.690941,29491,23192,83,413,2.64083e-06,790812,0.00505666,81092297,0.518526,13866845,0.0886683,55584000,0.355419,1432450,0.00915946,431490,0.00275906,0,0,3191855,0.0204096,376654,215.297,156390162
"hole9_unsat",0,90,415,5.97264,135829,102372,254,526,3.85941e-07,3605319,0.00264532,746756873,0.547916,68872014,0.0505333,516914776,0.379275,7450747,0.00546682,2154190,0.00158059,0,0,17148355,0.0125822,1827941,408.524,1362902800
"uf100-010_sat",1,100,430,0.00136524,160,115,1,541,0.00321477,8324,0.0494634,46403,0.275739,85472,0.507897,20057,0.119184,5236,0.0311137,1414,0.00840236,0,0,839,0.00498556,3901,11.8952,168286
"uuf100-02_unsat",1,100,430,0.00478599,732,600,5,541,0.000615501,18480,0.0210249,239565,0.272555,443373,0.50443,129863,0.147746,27401,0.0311744,7618,0.00866707,0,0,12118,0.0137868,18346,13.0582,878959
"uf125-01_sat",1,125,538,0.00466485,737,541,4,654,0.000739796,19807,0.0224054,237839,0.26904,452078,0.511384,131146,0.148351,25716,0.0290896,7200,0.00814454,0,0,9588,0.0108458,19672,12.0902,884028
"uuf125-05_unsat",1,125,538,0.00734716,1080,871,6,649,0.00045525,26285,0.018438,389252,0.273046,715948,0.502212,223069,0.156475,40832,0.0286422,11052,0.00775259,0,0,18502,0.0129785,30186,12.8951,1425589
"uf150-08_sat",1,150,645,0.00149283,175,128,1,761,0.0035883,7047,0.0332283,55425,0.261343,110212,0.519677,29070,0.137072,6464,0.0304794,1884,0.00888352,0,0,1215,0.00572902,5347,10.3656,212078
"CBS_k3_n100_m403_b10_1_sat",1,100,403,0.00208791,285,214,2,636,0.00203855,8706,0.0279051,83954,0.269095,160645,0.514911,42478,0.136154,10028,0.0321425,2742,0.00878886,0,0,2797,0.00896515,6767,12.4064,311986
"aim-200-3_4-yes1-4",1,200,680,0.00291079,566,307,2,791,0.00158947,17074,0.0343093,144903,0.291175,229494,0.461155,84687,0.170174,14196,0.0285261,3488,0.00700894,0,0,3017,0.00606249,11088,13.0685,497650
"aim-200-1_6-no-4",1,200,320,0.000639499,228,24,0,736,0.0204621,5613,0.156051,21644,0.60174,4539,0.126192,2431,0.067586,814,0.0226306,192,0.00533793,0,0,0,0,492,43.9919,35969
"ii16e2_sat",1,532,7825,0.00477767,475,140,1,7991,0.00874135,19909,0.0217784,420623,0.460119,113960,0.124661,339080,0.370919,8214,0.00898529,2384,0.00260786,0,0,2000,0.0021878,13655,30.8036,914161
"ii32e1_sat",1,222,1186,0.000524669,41,1,0,1298,0.117127,3067,0.276755,5190,0.468327,241,0.021747,1197,0.108013,69,0.00622631,20,0.00180473,0,0,0,0,227,22.8634,11082
